contest_id,competition_id,competition_name,date,location,weight_category_x,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round,athlete_id,first_name,last_name,country,gender,weight_category_y,height,weight,role
464215,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,533,19685,19685,0,,,5,533,Albert,TECHOV,LITHUANIA,M,,164.0,,blue
464229,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,38631,48816,38631,0,,,4,38631,Evgenii,STANEV,RUSSIAN FEDERATION,M,,0.0,,blue
464230,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52791,824,824,0,,,4,52791,Nam Chol,PAK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,M,,,,blue
464231,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,4909,767,767,0,,,4,4909,Kenji,UEMATSU,SPAIN,M,,0.0,,blue
464232,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,10390,31657,31657,0,,,4,10390,Omar,REBAHI,ALGERIA,M,,0.0,,blue
464233,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52787,2835,2835,0,,,4,52787,Scott,FERNANDIS,AUSTRALIA,M,,,,blue
464234,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52789,52792,52789,0,,,4,52789,Revazi,ZINTIRIDIS,GREECE,M,,,,blue
464235,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,8827,10650,10650,0,,,4,8827,Jean Claude,CAMEROUN,CAMEROON,M,,160.0,,blue
464236,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,48007,414,414,0,,,4,48007,Alexandre,LEE,BRAZIL,M,,0.0,,blue
464237,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,11634,192,192,0,,,4,11634,Akram,SHAH,INDIA,M,,0.0,,blue
464238,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,19702,19685,19702,0,,,4,19702,Taraje,WILLIAMS MURRAY,UNITED STATES OF AMERICA,M,,168.0,,blue
464239,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,19702,192,192,0,,,3,19702,Taraje,WILLIAMS MURRAY,UNITED STATES OF AMERICA,M,,168.0,,blue
